Particulars,Bank,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
net interest income,Citizen Bank,,,,,,,,,,,,,,-0.069877 -0.392793 -1.564272,-0.065434 -0.436030 -1.251356,-0.061059 -0.502851 -0.943210,-0.056810 -0.492392 -0.643897,-0.070013 -0.454464 -1.573897,-0.067405 -0.605768 -1.390203,-0.062912 -0.496929 -1.073739,-0.056331 -0.563185 -0.610151,-0.066827 -0.069458 -1.349447,-0.059332 -0.179358 -0.821533,-0.050723 -0.210565 -0.215172,-0.042147 -0.348443 0.388860,-0.067007 -0.244096 -1.362180,-0.058409 -0.430600 -0.756526,-0.050133 -0.472850 -0.173627,-0.040974 -0.525332 0.471520,-0.064768 -0.529699 -1.204418,-0.055066 -0.342051 -0.521055,-0.044931 -0.341274 0.192797,-0.034939 -0.637475 0.896557,-0.064549 -0.570011 -1.189035,-0.051966 -0.666023 -0.302738,-0.038249 -0.668361 0.663412,-0.024054 -0.772033 1.663274,-0.060586 -0.523553 -0.909857,-0.047664 -0.625502 0.000292,-0.035316 -0.597965 0.870046,-0.020068 -0.983916 1.944017,-0.059154 -0.235703 -0.809003,-0.045872 -1.092022 0.126490,-0.028703 -1.025630 1.335783,-0.009528 -1.004318 2.686428,-0.051002 -0.436262 -0.234810,-0.028519 -0.969648 1.348787,-0.054984 -1.653607 -0.515321,-0.051425 -1.729576 -0.264658,-0.052047 -0.252578 -0.308470,-0.051369 -1.500478 -0.260684,-0.048867 -1.221865 -0.084479,-0.054375 -1.236709 -0.472384,-0.048027 -0.937967 -0.025271,-0.049951 -0.944405 -0.160788,-0.045417 -0.751292 0.158583,-0.041011 -0.681487 0.468919,-0.036858 -0.438399 0.761426,-0.037191 -0.231446 0.737946,-0.034216 -0.641387 0.947469,-0.029454 -0.888718 1.282904,-0.028998 -0.860721 1.315051,-0.030741 -0.805099 1.192235,-0.025813 -0.771966 1.539387,,,,
net fee and commission income,Citizen Bank,,,,,,,,,,,,,,-0.065438 -0.147022 -1.059975,-0.061822 -0.173145 -0.782965,-0.058625 -0.179175 -0.538062,-0.063772 -0.784148 -0.932307,-0.067173 -0.615854 -1.192826,-0.062633 -0.325693 -0.845089,-0.058795 -0.262604 -0.551053,-0.062437 -0.889862 -0.830100,-0.065811 -0.652956 -1.088491,-0.063668 -0.719692 -0.924382,-0.061522 -0.746387 -0.759999,-0.060204 -0.950052 -0.659018,-0.065985 -0.795317 -1.101887,-0.063789 -0.888947 -0.933600,-0.061444 -0.858018 -0.753966,-0.059986 -0.811798 -0.642332,-0.064913 -0.656697 -1.019734,-0.062264 -0.825298 -0.816821,-0.061596 -0.931987 -0.765613,-0.058576 -0.938478 -0.534314,-0.066620 -0.841564 -1.150523,-0.062992 -0.971178 -0.872612,-0.057876 -0.870033 -0.480704,-0.052669 -0.965324 -0.081836,-0.064934 -0.925871 -1.021327,-0.059528 -0.921565 -0.607223,-0.053467 -0.901175 -0.142941,-0.042503 -0.869765 0.696941,-0.063883 -1.098717 -0.940859,-0.057606 -1.108583 -0.459970,-0.050977 -1.085307 0.047764,-0.040420 -0.948417 0.856506,-0.045212 -0.947405 0.489379,-0.026174 -0.660493 1.947767,-0.047357 -0.599059 0.325128,-0.043539 -0.919559 0.617555,-0.043226 -0.252985 0.641556,-0.043539 -0.986921 0.617539,-0.048127 -0.817479 0.266095,-0.048734 -0.609693 0.219636,-0.039043 -0.809098 0.961925,-0.038531 -0.826678 1.001193,-0.031414 -0.829713 1.546320,-0.034351 -0.768055 1.321357,-0.017259 -0.459491 2.630676,-0.035159 -1.101468 1.259496,-0.032986 -0.704272 1.425969,-0.038029 -0.632439 1.039635,-0.029301 -0.836876 1.708246,-0.034941 -0.733354 1.276192,-0.030797 -0.658100 1.593656,,,,
total operating income,Citizen Bank,,,,,,,,,,,,,,-0.071345 -0.496573 -1.538596,-0.067202 -0.529131 -1.262747,-0.063189 -0.582351 -0.995604,-0.059295 -0.598563 -0.736337,-0.071472 -0.688068 -1.547042,-0.068796 -0.686211 -1.368876,-0.064542 -0.609399 -1.085660,-0.058341 -0.657226 -0.672793,-0.068154 -0.192759 -1.326157,-0.061311 -0.312299 -0.870550,-0.053484 -0.334750 -0.349450,-0.045428 -0.468586 0.186873,-0.068043 -0.342438 -1.318760,-0.059357 -0.495567 -0.740457,-0.051297 -0.545974 -0.203835,-0.041643 -0.572703 0.438920,-0.066054 -0.467812 -1.186286,-0.056448 -0.692357 -0.546769,-0.046821 -0.709950 0.094135,-0.021937 -0.152743 1.750875,-0.065336 -0.714080 -1.138493,-0.053121 -0.708678 -0.325285,-0.039019 -0.688463 0.613567,-0.023852 -0.795787 1.623357,-0.060758 -0.760448 -0.833724,-0.046580 -0.899121 0.110187,-0.033428 -0.963541 0.985837,-0.017260 -0.972392 2.062260,-0.058569 -0.753174 -0.687985,-0.041418 -0.932352 0.453854,-0.024857 -0.988344 1.556474,-0.003943 -0.941327 2.948876,-0.050651 -1.142752 -0.160860,-0.030280 -1.250536 1.195409,-0.056051 -1.540191 -0.520322,-0.050812 -1.521813 -0.171529,-0.052578 -0.252613 -0.289131,-0.052804 -1.551304 -0.304165,-0.049515 -1.112372 -0.085193,-0.054704 -1.155121 -0.430661,-0.046659 -0.880498 0.104976,-0.048282 -0.961697 -0.003124,-0.043561 -0.860006 0.311199,-0.042077 -0.927371 0.409983,-0.033962 -0.474605 0.950307,-0.039469 -0.431561 0.583612,-0.038689 -0.759995 0.635574,-0.035895 -1.021684 0.821571,-0.035810 -1.044130 0.827265,-0.033953 -0.798056 0.950911,-0.031948 -0.836059 1.084371,,,,
staff expenses,Citizen Bank,,,,,,,,,,,,,,-0.064851 -1.188593 -1.359110,-0.063247 -1.254533 -1.228589,-0.061778 -1.086543 -1.109070,-0.059861 -1.062636 -0.953051,-0.064196 -0.759167 -1.305807,-0.062353 -0.860276 -1.155814,-0.060243 -0.872666 -0.984107,-0.057637 -0.919171 -0.772049,-0.063300 -0.667399 -1.232886,-0.060884 -0.837059 -1.036289,-0.058268 -0.798271 -0.823344,-0.054734 -0.877039 -0.535742,-0.063091 -0.894166 -1.215897,-0.060082 -0.916698 -0.971001,-0.056859 -0.891576 -0.708663,-0.053014 -0.869918 -0.395731,-0.062132 -0.655376 -1.137857,-0.057691 -0.603672 -0.776453,-0.053086 -0.555776 -0.401643,-0.046236 -0.540340 0.155904,-0.060797 -0.682068 -1.029189,-0.054666 -0.598857 -0.530190,-0.048240 -0.600587 -0.007209,-0.042154 -0.678513 0.488120,-0.057740 -0.595612 -0.780410,-0.049035 -0.520922 -0.071896,-0.039724 -0.542811 0.685865,-0.032837 -0.662512 1.246382,-0.057183 -0.967260 -0.735088,-0.045946 -0.778018 0.179472,-0.036689 -0.860163 0.932856,-0.024114 -0.821366 1.956298,-0.046004 -0.950375 0.174768,-0.026900 -0.956587 1.729606,-0.049977 -1.294864 -0.148619,-0.040799 -0.852996 0.598355,-0.045977 -0.252490 0.176952,-0.044631 -1.264032 0.286478,-0.043860 -1.156481 0.349218,-0.054766 -1.495495 -0.538317,-0.042580 -1.161571 0.453441,-0.043939 -1.388517 0.342836,-0.038942 -1.005988 0.749542,-0.043944 -1.282146 0.342426,-0.032624 -0.919743 1.263747,-0.029953 -0.447228 1.481094,-0.028056 -0.515932 1.635518,-0.027075 -0.666221 1.715353,-0.027293 -0.783314 1.697582,-0.029065 -0.850234 1.553370,-0.026663 -0.638656 1.748841,,,,
operating profit,Citizen Bank,,,,,,,,,,,,,,-0.071973 -0.261906 -1.222982,-0.068308 -0.351011 -1.013282,-0.063383 -0.327445 -0.731528,-0.061510 -0.446585 -0.624366,-0.072510 -0.188738 -1.253702,-0.074858 -0.625668 -1.388018,-0.073115 -0.624387 -1.288336,-0.063628 -0.344049 -0.745544,-0.071506 -0.124062 -1.196241,-0.070707 -0.625381 -1.150559,-0.061026 -0.428661 -0.596651,-0.047961 -0.328539 0.150790,-0.070049 -0.202983 -1.112894,-0.061339 -0.418829 -0.614559,-0.056909 -0.644703 -0.361153,-0.050057 -0.794373 0.030898,-0.068384 -0.554036 -1.017632,-0.059567 -0.551098 -0.513195,-0.048635 -0.384727 0.112252,-0.036543 -0.263335 0.804050,-0.070914 -1.057099 -1.162408,-0.058321 -0.959642 -0.441931,-0.039046 -0.647220 0.660878,-0.020258 -0.725832 1.735739,-0.059410 -0.373694 -0.504198,-0.043369 -0.770045 0.413510,-0.033271 -0.973784 0.991252,-0.014736 -1.007265 2.051719,-0.055633 -0.097778 -0.288156,-0.036032 -0.571079 0.833321,-0.019504 -0.760945 1.778925,0.006812 -0.721825 3.284525,-0.044757 -0.599631 0.334134,-0.022406 -1.046556 1.612858,-0.054923 -1.577696 -0.247500,-0.044187 -1.185910 0.366711,-0.052215 -0.252401 -0.092590,-0.052823 -1.515040 -0.127333,-0.047964 -0.362088 0.150661,-0.073988 -1.110195 -1.338284,-0.039936 -0.277174 0.609952,-0.053622 -1.252736 -0.173058,-0.035674 -0.713852 0.853760,-0.066305 -0.966037 -0.898682,-0.030754 -0.289470 1.135286,-0.038081 -0.230208 0.716049,-0.052460 -1.186404 -0.106574,-0.033560 -0.930853 0.974706,-0.043230 -0.759870 0.421471,-0.050304 -0.831582 0.016743,-0.047605 -0.706816 0.171165,,,,
non operating income expense,Citizen Bank,,,,,,,,,,,,,,,-0.121129 2.408193 -0.582687,-0.119989 -0.182720 -0.572280,-0.118864 -0.210109 -0.562014,-0.136804 -0.497505 -0.725740,-0.135821 -0.376778 -0.716765,-0.108493 2.054841 -0.467374,-0.107368 -0.244992 -0.457108,-0.130442 -0.228748 -0.667678,-0.128853 -0.295220 -0.653176,-0.117514 0.905693 -0.549700,-0.107891 0.287972 -0.461877,-0.138347 -0.388352 -0.739821,-0.111014 -0.023786 -0.490375,-0.119229 -0.449594 -0.565352,-0.114250 -0.329979 -0.519911,-0.116454 -0.188166 -0.540023,-0.068527 -0.087801 -0.102644,-0.048843 -0.049213 0.076987,-0.039155 -0.176457 0.165400,-0.042290 2.537029 0.136789,0.170085 0.447607 2.074914,0.232578 0.192145 2.645221,0.301406 -0.166785 3.273339,-0.069366 -0.262357 -0.110301,-0.075707 -0.326074 -0.168168,0.019898 -0.245526 0.704319,0.036047 -0.297460 0.851693,-0.118338 -0.517824 -0.557218,-0.075707 -0.507603 -0.168168,-0.131395 -0.762472 -0.676373,-0.131874 -0.706332 -0.680749,-0.127396 -0.367586 -0.639880,-0.113101 -0.492719 -0.509421,-0.127271 -0.367798 -0.638741,-0.084519 -0.087416 -0.248582,-0.118383 -0.268313 -0.557626,-0.096094 -0.042882 -0.354216,-0.082463 0.698667 -0.229820,0.082193 2.180750 1.272817,-0.136217 0.290803 -0.720375,0.190753 2.958309 2.263525,0.177778 1.961799 2.145117,0.137140 0.669862 1.774260,0.021583 3.447343 0.719692,-0.124618 0.287868 -0.614523,-0.127098 0.065349 -0.637156,0.028435 0.346285 0.782222,-0.134286 0.104460 -0.702759,-0.125562 0.731467 -0.623146,-0.131195 0.431213 -0.674547,,,,
profit for the period,Citizen Bank,,,,,,,,,,,,,,-0.074312 -0.277158 -1.225482,-0.070786 -0.359652 -1.059368,-0.066385 -0.384294 -0.852020,-0.064731 -0.523126 -0.774075,-0.074751 -0.213458 -1.246160,-0.073409 -0.396977 -1.182965,-0.071469 -0.447132 -1.091536,-0.063037 -0.370029 -0.694254,-0.073766 -0.249432 -1.199759,-0.071432 -0.604127 -1.089792,-0.062650 -0.470612 -0.676062,-0.050881 -0.363948 -0.121581,-0.071238 -0.302408 -1.080675,-0.062108 -0.455292 -0.650527,-0.057457 -0.674842 -0.431374,-0.039757 -0.421489 0.402547,-0.070787 -0.704120 -1.059420,-0.059121 -0.699572 -0.509782,-0.046871 -0.491930 0.067355,-0.028566 -0.277071 0.929787,-0.068555 -0.455176 -0.954254,-0.049583 -0.585023 -0.060386,-0.028222 -0.430665 0.946008,-0.002594 -0.477344 2.153411,-0.054939 -0.190179 -0.312728,-0.036266 -0.562901 0.567001,-0.018572 -0.517893 1.400644,0.004793 -0.752169 2.501455,-0.056345 -0.307506 -0.378985,-0.035962 -0.683541 0.581328,-0.010325 -0.607962 1.789218,0.018343 -0.540839 3.139849,-0.046493 -0.551278 0.085199,-0.025093 -1.045756 1.093431,-0.057672 -1.610593 -0.441490,-0.047667 -1.074849 0.029866,-0.054223 -0.252789 -0.279010,-0.054516 -1.438849 -0.292823,-0.050268 -0.303420 -0.092690,-0.075676 -1.195279 -1.289773,-0.042376 -0.195901 0.279160,-0.052014 -1.071169 -0.174940,-0.031412 -0.413050 0.795715,-0.026419 0.534298 1.030920,-0.031010 -0.208201 0.814647,-0.039833 -0.213470 0.398949,-0.054599 -1.213909 -0.296737,-0.033405 -1.042904 0.701819,-0.045691 -0.766270 0.122959,-0.052466 -0.807994 -0.196225,-0.050771 -0.681278 -0.116395,,,,
capital fund to rwa,Citizen Bank,,,,,,,,,,,,,,-1.153718 -0.922670 -2.149627,1.425004 2.168773 1.371513,1.631678 0.357117 1.653717,1.110297 0.056724 0.941793,1.575313 0.406513 1.576752,1.655164 0.580987 1.685786,1.589404 0.761306 1.595994,1.237119 0.613669 1.114964,0.166175 0.365233 -0.347368,-0.181413 0.189091 -0.821984,-0.120350 0.178823 -0.738606,0.180266 0.438142 -0.328127,-1.125535 -1.332774 -2.111145,0.349363 1.612756 -0.097232,0.011169 0.890920 -0.559021,0.325877 1.064425 -0.129301,-0.214293 0.642299 -0.866880,-0.322326 0.507440 -1.014396,-0.425663 0.412618 -1.155498,0.236632 1.217030 -0.251162,-0.392783 0.261539 -1.110602,-0.261264 0.368446 -0.931018,-0.514909 -0.025987 -1.277359,0.386940 0.987567 -0.045922,0.222540 1.212088 -0.270403,0.199055 0.861876 -0.302472,0.415122 0.693775 -0.007440,1.899414 1.462196 2.019300,1.486067 1.250672 1.454891,1.049234 0.964521 0.858414,1.340456 1.197155 1.256066,1.265302 1.089982 1.153446,1.279394 0.707241 1.172687,0.363454 0.659853 -0.077991,0.278906 0.437998 -0.193438,0.199055 0.060797 -0.302472,-0.007619 -0.267916 -0.584676,0.006472 -0.303020 -0.565435,0.668767 1.103679 0.338902,1.307576 1.438617 1.211170,0.748618 0.559378 0.447935,0.419819 0.091924 -0.001026,0.485579 0.735633 0.088766,0.494973 0.159990 0.101594,0.081626 -0.170228 -0.462815,0.335271 0.680430 -0.116473,0.368151 0.562227 -0.071577,,-0.181413 -0.844164 -0.821984,-0.439755 -1.449812 -1.174740,-0.425663 -1.267295 -1.155498,,,,
non performing loan to total loan,Citizen Bank,,,,,,,,,,,,,,-0.069641 -0.669573 -1.953380,-0.071867 -0.615087 -2.055973,-0.067943 -0.541078 -1.875154,-0.047932 0.035798 -0.953107,0.004669 0.932015 1.470633,-0.000062 0.501707 1.252625,0.005783 0.594719 1.521929,-0.024554 0.520249 0.124111,-0.013699 0.331872 0.624248,0.019698 1.014472 2.163130,-0.012308 0.216915 0.688368,-0.024275 0.172644 0.136935,-0.006463 0.492553 0.957672,-0.012029 0.119271 0.701192,-0.013978 0.218606 0.611424,-0.013699 0.532775 0.624248,-0.015091 -0.191964 0.560128,-0.024554 -0.209965 0.124111,-0.030677 -0.291322 -0.158018,-0.037913 -0.273618 -0.491442,-0.015091 0.327902 0.560128,-0.012864 0.448537 0.662720,-0.030955 -0.093029 -0.170842,-0.044036 -0.112037 -0.773571,-0.032346 0.074679 -0.234962,-0.043757 -0.018065 -0.760747,-0.037356 0.207101 -0.465794,-0.044871 0.037088 -0.812043,-0.025110 0.475710 0.098463,-0.026502 0.558183 0.034343,-0.039861 0.232523 -0.581210,-0.045706 0.247871 -0.850515,-0.046262 0.165994 -0.876163,-0.035408 -0.265367 -0.376026,-0.036521 0.406831 -0.427322,-0.047376 0.208287 -0.927459,-0.053220 -0.272238 -1.196763,-0.052942 -0.369932 -1.183939,-0.053498 -0.538580 -1.209587,-0.039861 -0.008864 -0.581210,-0.040696 0.039098 -0.619682,-0.013143 1.109644 0.649896,-0.029563 0.941417 -0.106721,-0.003402 1.888869 1.098736,-0.027337 1.277314 -0.004129,-0.028450 -0.045954 -0.055425,-0.032625 1.061592 -0.247786,,-0.000062 1.588537 1.252625,0.002721 0.748416 1.380865,0.030274 0.848462 2.650443,,,,
total loan loss provision to npl,Citizen Bank,,,,,,,,,,,,,,-0.006927 0.065006 2.352165,0.132589 0.218244 4.252990,0.103229 0.126287 3.852970,-0.161220 -0.319806 0.250001,-0.254228 -1.314479 -1.017174,-0.251049 -0.895495 -0.973867,-0.245380 -0.801598 -0.896623,-0.222674 -0.776404 -0.587269,-0.218687 -0.467540 -0.532945,-0.253968 -0.682402 -1.013628,-0.222544 -0.341675 -0.585496,-0.213333 -0.316418 -0.460007,-0.233167 -0.409315 -0.730233,-0.214439 -0.322140 -0.475076,-0.221633 -0.333118 -0.573086,-0.220899 -0.314838 -0.563083,-0.220890 -0.305197 -0.562956,-0.194866 -0.280225 -0.208396,-0.182216 -0.276133 -0.036054,-0.170143 -0.294628 0.128437,-0.213175 -0.381391 -0.457854,-0.209402 -0.375948 -0.406443,-0.184530 -0.394950 -0.067584,-0.157744 -0.275300 0.297360,-0.181315 -0.348876 -0.023771,-0.173944 -0.275404 0.076646,-0.191139 -0.369132 -0.157617,-0.165310 -0.278173 0.194284,-0.189586 -0.435980 -0.136470,-0.190618 -0.350518 -0.150526,-0.170691 -0.488888 0.120966,-0.153348 -0.390154 0.357255,-0.156202 -0.402775 0.318380,-0.185144 -0.590112 -0.075942,-0.180590 -0.505962 -0.013894,-0.158293 -0.454287 0.289889,-0.133040 -0.324893 0.633939,-0.135076 -0.214897 0.606207,-0.137929 -0.099024 0.567332,-0.151619 -0.359686 0.380808,-0.160421 -0.540581 0.260891,-0.221875 -0.693657 -0.576379,-0.203788 -0.677742 -0.329959,-0.225016 -0.718665 -0.619179,-0.201093 -0.702680 -0.293237,-0.200089 -0.786858 -0.279561,-0.182504 -0.546148 -0.039979,,-0.229273 -0.762109 -0.677175,-0.224403 -0.664010 -0.610822,-0.238892 -0.753963 -0.808236,,,,
cost of fund,Citizen Bank,,,,,,,,,,,,,,1.410942 0.457897 0.990135,1.937139 0.875813 1.555795,2.259301 1.065686 1.902117,1.840491 0.515691 1.451898,1.819013 0.271821 1.428810,1.733104 0.436093 1.336457,1.314294 -0.036949 0.886238,0.841790 -0.436923 0.378299,0.143774 -0.283792 -0.372065,0.020278 -0.135429 -0.504822,0.111557 0.097240 -0.406698,0.294116 0.580981 -0.210448,0.143774 0.356930 -0.372065,-0.285775 -0.065383 -0.833828,-0.457595 -0.126584 -1.018533,-0.500550 -0.009907 -1.064710,-0.854927 0.359232 -1.445664,-0.871035 0.497278 -1.462980,-0.790495 0.729189 -1.376400,-0.629414 0.917011 -1.203239,-0.726063 0.866208 -1.307135,-0.924729 0.786701 -1.520701,-1.193197 0.499426 -1.809302,-1.005269 0.386451 -1.607281,-0.983792 1.062494 -1.584193,-0.522027 1.455729 -1.087798,0.498151 1.985023 0.008889,0.981393 1.590065 0.528372,0.992132 0.921426 0.539916,1.067303 1.082474 0.620725,1.169321 0.887489 0.730393,1.223015 1.142880 0.788114,1.378726 1.587519 0.955503,1.094150 0.956888 0.649585,1.271339 1.541135 0.840062,1.292816 1.841993 0.863150,1.142474 1.832478 0.701533,0.949177 1.380303 0.493740,0.868637 1.175304 0.407159,0.546475 1.203325 0.060837,0.331701 1.704460 -0.170044,0.111557 1.836125 -0.406698,-0.248190 1.599945 -0.793424,-0.173019 1.491962 -0.712616,-0.049523 0.850465 -0.579859,0.471304 1.203433 -0.019971,0.884745 1.143060 0.424476,,1.475374 1.398289 1.059399,1.636455 1.361980 1.232561,1.453897 0.881011 1.036311,,,,
base rate,Citizen Bank,,,,,,,,,,,,,,,,,,,,,,,0.164573 -0.632897 -0.142707,0.438855 -0.224597 0.145458,0.641585 0.030669 0.358449,0.206311 -0.538540 -0.098856,-0.455543 -1.079589 -0.794211,-0.252813 -0.160570 -0.581219,-0.288589 -0.246901 -0.618806,-0.628460 -0.092183 -0.975880,-0.705975 0.138413 -1.057318,-0.789452 -0.277190 -1.145021,-0.801377 0.056402 -1.157549,-0.622498 0.783557 -0.969616,-0.819265 0.988018 -1.176343,-1.320128 0.520722 -1.702557,-1.546709 -0.348406 -1.940607,-0.968332 1.142360 -1.332954,-0.515170 1.171998 -0.856856,0.826427 1.286017 0.552647,1.506170 0.934155 1.266795,1.237851 0.690976 0.984895,1.416730 0.920393 1.172829,1.494245 0.514344 1.254267,1.869892 1.132547 1.648927,1.685050 1.186212 1.454729,1.279589 0.773795 1.028746,1.154373 0.972957 0.897193,1.118597 1.029657 0.859606,1.255739 1.424501 1.003688,1.017232 1.108427 0.753110,0.736988 0.590152 0.458681,0.236125 0.561288 -0.067534,0.098984 1.764546 -0.211616,-0.234925 0.203060 -0.562426,-0.717900 1.157193 -1.069847,-0.652311 1.120510 -1.000938,-0.318402 0.889058 -0.650128,0.259975 0.850100 -0.042476,0.695249 0.894263 0.414829,,1.488282 1.325939 1.248002,1.637348 0.703784 1.404614,1.488282 0.747344 1.248002,,,,
net interest spread,Citizen Bank,,,,,,,,,,,,,,-0.452821 0.654738 -0.460044,-1.820825 -0.550465 -1.746474,-2.195090 -1.147780 -2.098422,-1.007766 0.201585 -0.981898,,,,,,2.270279 1.958571 2.100680,1.547561 1.524907 1.421056,0.992616 0.970223 0.899203,1.212013 1.669316 1.105517,3.276923 1.768479 3.047298,2.554205 1.383802 2.367675,1.212013 0.067382 1.105517,0.992616 0.924307 0.899203,0.850653 0.582395 0.765705,0.540917 0.354120 0.474438,0.102123 -0.163806 0.061810,0.011783 0.050347 -0.023143,0.153746 -0.138601 0.110354,0.437671 -0.124315 0.377349,-0.117273 -0.525225 -0.144505,-0.220519 -0.446029 -0.241594,-0.723841 -0.945673 -0.714903,-0.130179 -0.323620 -0.156641,-1.111012 -0.966881 -1.078987,-0.556067 -0.390548 -0.557133,-1.059389 -1.020269 -1.030442,-0.401199 -0.565798 -0.411500,-0.272142 -1.198944 -0.290138,,,-0.530256 -1.643607 -0.532861,-1.162634 -3.046537 -1.127531,0.140840 -1.105384 0.098218,-0.465727 -2.178250 -0.472180,-0.001122 -1.969964 -0.035279,-0.026934 -0.043874 -0.059552,0.450577 0.216574 0.389485,0.037595 -0.098332 0.001129,-0.246330 0.185088 -0.265866,-0.594784 -0.103636 -0.593541,-0.672218 0.464882 -0.666358,-1.214257 0.244225 -1.176076,-0.439916 0.018290 -0.447908,,-0.323765 -0.673791 -0.338683,0.334426 0.218129 0.280260,0.192463 -0.484650 0.146763,,,,
market share price,Citizen Bank,,,,,,,,,,,,,,,,,,-0.791937 -0.427186 -1.536772,,,,-0.719534 -0.417584 -1.304968,-0.560247 -0.420789 -0.795000,-0.564384 -0.445501 -0.808246,-0.578865 -0.515099 -0.854607,-0.614032 -0.460086 -0.967197,-0.194093 -0.452839 0.377263,-0.233398 -0.453661 0.251427,-0.016188 -0.466274 0.946838,-0.194093 -0.617476 0.377263,-0.239604 -0.528045 0.231558,-0.204437 -0.475866 0.344149,-0.119621 -0.389207 0.615690,0.000361 -0.415170 0.999821,0.103794 -0.236706 1.330969,0.368584 -0.311473 2.178708,0.275494 -0.400861 1.880675,0.068627 -0.531015 1.218379,-0.117553 -0.490013 0.622313,-0.220986 -0.498474 0.291165,-0.297527 -0.480252 0.046115,-0.496118 -0.614337 -0.589689,-0.541629 -0.560348 -0.735394,-0.593346 -0.554089 -0.900968,-0.642994 -0.737594 -1.059919,-0.618170 -0.784034 -0.980443,-0.680230 -1.009961 -1.179132,,,,,,,,,,,,,,,,,,,,,
return on equity,Citizen Bank,,,,,,,,,,,,,,0.115849 -0.048248 0.256924,-0.888148 -0.961666 -1.775771,,,,,,,,-1.135746 -1.017576 -2.277059,-0.471856 -0.623774 -0.932946,-0.252827 -0.341767 -0.489499,-0.014752 0.126030 -0.007492,0.170266 0.120840 0.367097,-0.233781 -0.341506 -0.450939,0.306309 0.189933 0.642530,-0.195689 -0.186739 -0.373818,0.217881 0.071985 0.463499,0.294065 0.250210 0.617741,0.322634 0.243138 0.675582,-0.251467 -0.279401 -0.486745,0.543024 0.082981 1.121783,0.929386 0.484088 1.904013,0.828714 0.147143 1.700192,0.657300 0.003306 1.353147,0.359366 -0.212154 0.749949,0.128093 -0.293562 0.281713,0.046467 -0.101398 0.116453,-0.392952 0.068635 -0.773195,-0.538517 -0.509841 -1.067909,-0.424241 -0.308790 -0.836545,-0.395672 -0.469531 -0.778704,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,Citizen Bank,,,,,,,,,,,,,,-0.086618 0.275780 -0.499488,-0.317323 0.099409 -0.997730,,,,,,,,-0.908506 -0.656927 -2.274475,-0.447095 -0.357798 -1.277991,-0.014522 0.282855 -0.343787,-0.144294 0.148085 -0.624048,0.144088 0.233846 -0.001246,-0.230809 -0.322437 -0.810889,0.259440 0.488879 0.247875,-0.346161 -0.246653 -1.060010,0.014316 0.004149 -0.281507,-0.028941 0.076819 -0.374927,0.288279 0.772125 0.310156,-0.317323 -0.219994 -0.997730,0.403631 0.396499 0.559277,0.735270 1.305705 1.275500,0.677594 0.525264 1.150939,1.095748 0.661085 2.054003,0.764109 0.150974 1.337780,0.547822 -0.014843 0.870678,-0.346161 -1.383289 -1.060010,0.475727 0.528380 0.714977,0.331536 0.056708 0.403576,0.461308 0.209656 0.683837,0.605499 0.287609 0.995239,,,,,,,,,,,,,,,,,,,,,,,
