Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080,Bank
net interest income,,,,,,,,,,43860.0,93787.0,155646.0,216228.0,58223.0,127384.0,238300.0,355059.0,100574.0,185735.0,286589.0,418584.0,138623.0,296083.0,465498.0,655532.0,167551.0,362785.0,579121.0,818718.0,244992.0,531621.0,821793.0,1139390.0,124435.0,736728.0,1208621.0,1722885.0,534392.0,1093085.0,1699851.0,2294500.0,601732.0,1344638.0,2094257.0,2939055.0,982618.0,,1012396.714,1186194.767,1150340.645,1027460.07,1079184.84,977124.382,980511.509,1021915.274,1280122.75,1253357.738,1164228.526,1028337.464,1183944.041,1418896.543,1607417.142,1621249.5,1741763.669,,,,,Sanima Bank
net fee and commission income,,,,,,,,,,386.0,,2315.0,3908.0,1308.0,2259.0,3613.0,5534.0,2337.0,5142.0,8661.0,12447.0,4184.0,8945.0,15036.0,23668.0,8508.0,17056.0,29012.0,40458.0,12276.0,24590.0,38307.0,53493.0,17728.0,37359.0,59204.0,88543.0,29969.0,67802.0,103688.0,154931.0,38841.0,85260.0,128203.0,185958.0,232710.0,,178928.063,164604.006,194597.759,180070.252,190653.801,86394.919,207769.233,257043.116,250080.099,173633.118,251896.142,249361.53,219499.006,222811.219,241041.001,193554.864,211245.734,,,,,Sanima Bank
total operating income,,,,,,,,,,58535.0,118787.0,186446.0,256483.0,69909.0,145720.0,270068.0,394972.0,107380.0,204185.0,321528.0,474281.0,172887.0,356700.0,555822.0,777889.0,228517.0,493756.0,780634.0,1091503.0,342946.0,720652.0,1099078.0,1503363.0,429563.0,955252.0,1542756.0,2207262.0,692140.0,1416623.0,2159192.0,2947005.0,835109.0,1838910.0,2820998.0,3926654.0,1337217.0,,1295231.547,1466137.794,1464464.39,1347961.7,1369822.539,1120362.708,1283548.905,1476985.189,1681339.902,1517772.494,1619465.031,1378900.503,1488658.058,1694091.428,1947214.544,1938426.479,1976939.481,,,,,Sanima Bank
staff expenses,,,,,,,,,,9104.0,17417.0,28711.0,41791.0,14041.0,26468.0,40675.0,55836.0,19845.0,37635.0,57752.0,79571.0,29523.0,53498.0,76698.0,99776.0,38988.0,70994.0,101447.0,134381.0,49200.0,94353.0,138490.0,182321.0,66428.0,125093.0,184604.0,259435.0,86428.0,165289.0,258051.0,345159.0,127065.0,237634.0,382078.0,540365.0,305051.0,,270245.966,337439.352,374758.375,254555.376,326105.066,310334.4,328737.494,354411.103,389955.277,393880.332,390212.15,410180.222,441978.535,439315.024,429560.074,480360.609,437604.33,,,,,Sanima Bank
operating profit,,,,,,,,,,28264.0,59321.0,94869.0,136376.0,33260.0,67999.0,149472.0,241087.0,47696.0,93093.0,123218.0,194362.0,77279.0,184376.0,313090.0,459197.0,134379.0,299264.0,496047.0,695553.0,203205.0,432386.0,659050.0,934318.0,266796.0,627061.0,1027820.0,1476689.0,446400.0,958891.0,1477189.0,2042014.0,499194.0,1253403.0,1866564.0,2609127.0,753204.0,,858278.115,986153.293,809827.95,800756.686,676123.259,130970.523,570310.908,996278.249,1184595.962,624935.124,770524.897,728000.781,737862.321,1016206.202,747014.035,1084701.391,673613.958,,,,,Sanima Bank
non operating income expense,,,,,,,,,,,,,34.0,,324.0,300.0,348.0,,11.0,54.0,678.0,541.0,1180.0,1922.0,2571.0,637.0,6483.0,8182.0,13082.0,1935.0,3453.0,4632.0,7377.0,9261.0,4368.0,8733.0,154295.0,22000.0,15133.0,42494.0,45929.0,29595.0,28555.0,22706.0,25612.0,432.0,,46.235,-4682.435,447.229,-140.033,-707.909,42.475,5.595,33.429,672.005,-2434.76,-471.146,13116.72,-4343.482,389.032,257.305,-483.857,-50352.937,,,,,Sanima Bank
profit for the period,,,,,,,,,,17985.0,37750.0,60372.0,85086.0,21166.0,43421.0,95309.0,154518.0,30352.0,59139.0,78336.0,120985.0,54244.0,130528.0,211542.0,304950.0,86309.0,194367.0,320823.0,453878.0,130925.0,278174.0,423212.0,604196.0,176844.0,408025.0,670416.0,1049675.0,270543.0,622555.0,42494.0,1329381.0,344391.0,828387.0,1215590.0,1693663.0,527545.0,,599883.643,684555.958,567192.625,561592.741,472790.907,90215.448,399221.552,700185.182,827478.938,433001.089,539037.688,519971.37,513466.899,713997.465,521956.544,759610.984,437024.853,,,,,Sanima Bank
capital fund to rwa,,,,,,,,,,20.34,17.99,18.89,17.64,15.35,14.08,29.37,30.51,29.82,28.26,24.57,21.8,16.95,16.27,15.23,15.0,14.0,13.94,13.21,12.55,11.72,11.03,10.65,11.19,11.72,11.26,11.12,12.65,12.45,13.12,13.42,15.74,13.85,13.42,13.46,12.91,12.49,,13.3,13.11,12.61,12.78,12.46,12.97,12.54,15.04,13.99,13.54,13.45,13.28,13.51,13.75,13.03,13.39,13.45,,,,,Sanima Bank
non performing loan to total loan,,,,,,,,,,0.2,0.12,0.11,0.08,0.07,0.06,0.05,0.004,0.97,0.63,0.87,0.48,0.47,0.19,0.06,0.03,0.09,0.1,0.05,0.02,0.05,0.04,0.1,0.07,0.05,0.05,0.12,0.02,0.05,0.01,0.04,0.01,0.14,0.03,0.17,0.03,0.08,,0.12,0.08,0.24,0.41,0.36,0.48,0.4,0.58,0.21,0.16,0.11,0.31,0.38,0.35,0.91,0.77,2.27,,,,,Sanima Bank
total loan loss provision to npl,,,,,,,,,,557.54,927.76,1068.79,1233.12,1465.07,1895.61,2131.54,22587.9,128.49,189.13,147.41,237.92,243.15,559.38,1848.95,3750.43,1147.13,1046.3,1977.81,5832.14,2322.48,2705.74,1306.81,1533.19,2456.41,2304.23,912.7,5982.92,2067.8,11201.06,2938.08,11578.19,831.91,4181.94,689.32,4082.07,1536.63,,1094.49,1544.8,551.97,335.62,417.55,425.19,527.32,321.63,753.84,1103.58,1609.91,531.7,437.71,465.33,206.39,252.54,103.3,,,,,Sanima Bank
cost of fund,,,,,,,,,,,7.42,7.78,9.38,9.6,10.01,10.35,10.48,10.08,9.61,10.38,9.91,7.88,7.67,7.45,7.24,7.06,6.91,6.57,6.29,5.2,4.93,4.96,5.02,4.65,4.18,3.91,3.83,3.77,4.09,4.68,5.35,7.43,7.24,7.32,7.42,7.43,,7.29,7.39,7.72,7.33,7.29,6.66,5.99,5.16,4.71,4.75,5.84,6.41,7.26,7.63,8.47,8.92,8.7,,,,,Sanima Bank
base rate,,,,,,,,,,,,,,,,,,,,,,,10.36,10.1,10.04,9.73,9.54,8.4,8.22,7.85,7.19,7.62,7.5,7.85,6.19,5.58,6.07,6.28,7.2,9.11,10.2,10.27,9.71,10.63,10.66,10.55,,9.31,9.45,9.21,9.29,9.25,8.62,7.73,6.83,6.23,6.34,7.45,8.08,9.0,9.71,10.5,10.86,10.63,,,,,Sanima Bank
net interest spread,,,,,,,,,,,,,,,,,,2.39,2.6,3.55,3.57,4.6,4.09,3.99,3.85,4.43,4.12,4.1,4.35,4.57,4.61,3.81,3.91,4.18,4.47,4.95,4.4,4.08,4.12,4.61,3.97,3.93,4.18,4.05,4.66,4.44,,4.64,4.35,4.44,4.17,5.08,3.47,3.61,4.21,4.07,3.73,2.69,2.91,3.2,3.86,3.91,4.39,4.2,,,,,Sanima Bank
market share price,,,,,,,,,,,,,,,,,,,,160.0,225.0,188.0,276.0,277.0,260.0,265.0,524.0,467.0,638.0,490.0,539.0,558.0,555.0,672.0,670.0,806.0,750.0,652.0,539.0,476.0,431.0,347.0,340.0,358.0,324.0,335.0,,,,,,,,,,,,,,,,,,,,,,,Sanima Bank
return on equity,,,,,,,,,,,,,,,,,,5.54,5.45,4.8,5.4,9.75,11.58,12.13,12.53,13.35,14.81,15.68,15.77,17.33,17.93,17.5,17.58,19.24,21.32,22.02,23.36,16.94,18.51,18.03,14.35,14.22,16.64,15.77,15.76,18.01,,21.95,23.36,20.0,20.34,19.41,15.27,12.2,17.57,20.56,,,,,,,,,,,,,Sanima Bank
return on total assets,,,,,,,,,,,,,,,,,,1.29,1.22,0.92,0.88,1.36,1.5,1.39,1.39,1.53,1.66,1.73,1.54,1.53,1.57,1.46,1.5,1.6,1.81,1.81,1.86,1.78,2.01,2.02,1.86,1.75,2.02,1.88,1.84,2.07,,2.06,2.07,1.93,1.88,1.73,1.34,1.19,1.64,1.73,,,,,,,,,,,,,Sanima Bank
credit to deposit ratio,,,,,,,,,,,,83.86,79.14,80.39,83.38,79.71,75.41,70.83,72.72,75.05,72.19,77.42,79.34,78.47,73.94,73.24,78.38,78.96,75.2,77.66,78.18,77.75,76.1,79.13,78.01,77.66,76.07,79.26,18.62,75.17,72.04,79.17,78.99,18.18,76.99,79.14,,78.58,77.91,78.84,78.05,78.64,74.72,78.23,81.6,82.73,82.31,85.25,86.85,87.22,86.36,86.11,83.03,82.29,,,,,Sanima Bank
debt ratio,,,,,,,,,,10.42,10.83,5.62,6.15,10.45,9.55,9.37,7.03,0.16,0.67,,0.64,2.69,2.51,7.4,6.74,3.89,69.16,4.57,3.06,3.71,3.89,4.99,4.19,7.69,2.98,2.9,5.84,5.48,3.94,1.33,0.87,0.01,0.55,2.1,0.39,0.89,,,,,,,,,,,1.11,0.01,0.01,0.02,0.26,1.37,1.34,1.29,,,,,Sanima Bank
interest income to assets ratio,,,,,,,,,,1.94,1.29,6.36,8.5,2.58,4.68,7.36,11.09,3.04,5.55,7.14,8.51,0.88,4.36,5.81,2.98,2.17,70.67,2.32,6.87,1.78,3.26,4.64,2.83,0.75,3.34,4.67,5.82,1.69,3.2,5.58,7.27,2.32,4.55,6.64,5.47,2.58,,2.55,2.7,2.58,2.34,2.34,2.22,2.02,1.85,1.82,1.81,1.77,1.89,2.17,2.41,2.62,2.71,2.7,,,,,Sanima Bank
interest income margin,,,,,,,,,,0.7,1.29,2.33,2.99,0.71,1.36,2.41,3.79,1.09,1.91,2.5,3.04,0.88,1.7,2.28,2.98,0.76,70.67,2.32,2.78,0.78,1.49,2.11,2.83,0.29,1.63,2.42,3.06,0.89,1.64,2.71,3.28,0.79,1.66,2.44,3.18,1.0,,0.98,1.09,1.0,0.85,0.86,0.77,0.75,0.76,0.86,0.78,0.67,0.58,0.65,0.74,0.82,0.83,0.85,,,,,Sanima Bank
return on investment,,,,,,,,,,0.29,0.52,0.9,1.18,0.26,0.46,0.96,1.65,0.33,0.61,0.68,0.88,0.35,0.75,1.04,1.39,0.39,37.86,1.29,1.54,0.42,0.78,1.08,1.5,0.41,0.9,1.34,1.87,0.45,0.93,0.07,1.9,0.45,1.02,1.41,1.83,0.54,,0.58,0.63,0.49,0.47,0.38,0.07,0.3,0.52,0.55,0.27,0.31,0.29,0.28,0.37,0.27,0.39,0.21,,,,,Sanima Bank
commission to operating income,,,,,,,,,,0.66,,1.24,1.52,1.87,1.55,1.34,1.4,2.18,2.52,2.69,2.62,2.42,2.51,2.71,3.04,3.72,3.45,3.72,3.71,3.58,3.41,3.49,3.56,4.13,3.91,3.84,4.01,4.33,4.79,4.8,5.26,4.65,4.64,4.54,4.74,17.4,,13.81,11.23,13.29,13.36,13.92,7.71,16.19,17.4,14.87,11.44,15.55,18.08,14.74,13.15,12.38,9.99,10.69,,,,,Sanima Bank
staff expense to income ratio,,,,,,,,,,15.55,14.66,15.4,16.29,20.08,18.16,15.06,14.14,18.48,18.43,17.96,16.78,17.08,15.0,13.8,12.83,17.06,14.38,13.0,12.31,14.35,13.09,12.6,12.13,15.46,13.1,11.97,11.75,12.49,11.67,11.95,11.71,15.22,12.92,13.54,13.76,22.81,,20.86,23.02,25.59,18.88,23.81,27.7,25.61,24.0,23.19,25.95,24.1,29.75,29.69,25.93,22.06,24.78,22.14,,,,,Sanima Bank
net profit margin,,,,,,,,,,30.73,31.78,32.38,33.17,30.28,29.8,35.29,39.12,28.27,28.96,24.36,25.51,31.38,36.59,38.06,39.2,37.77,39.36,41.1,41.58,38.18,38.6,38.51,40.19,41.17,42.71,43.46,47.56,39.09,43.95,1.97,45.11,41.24,45.05,43.09,43.13,39.45,,46.31,46.69,38.73,41.66,34.51,8.05,31.1,47.41,49.22,28.53,33.28,37.71,34.49,42.15,26.81,39.19,22.11,,,,,Sanima Bank
income tax portion of operating profit,,,,,,,,,,,5.76,2.26,1.61,42.86,,,,,,,,,,,,,,,,,,,,,5.73,,0.9,38.39,3.14,,,,5.82,0.37,,,,2.11,3.65,39.74,7.66,51.08,,36.88,6.9,20.13,23.34,47.43,13.81,8.88,9.47,35.48,2.8,,,,,,Sanima Bank
loan to deposit ratio,,,,,,,,,,96.97,91.25,92.46,88.4,88.8,92.38,103.92,100.23,90.74,92.37,91.16,85.25,91.3,89.79,87.78,84.87,85.38,86.33,89.64,82.17,85.87,85.89,85.42,82.92,85.6,85.15,83.95,87.26,91.61,93.6,91.14,88.77,89.33,89.29,89.94,86.71,89.22,,95.11,93.32,90.04,92.38,94.38,87.4,90.95,95.41,95.83,95.99,94.91,98.04,97.12,90.46,98.41,93.52,90.55,,,,,Sanima Bank
reserves,,,,,,,,,,924913.0,1040176.0,793653.0,888421.0,891429.0,791485.0,955844.0,1103455.0,1199440.0,981028.0,1047069.0,1203692.0,1370300.0,1223576.0,1391129.0,1617711.0,1371549.0,1607795.0,1823465.0,2071736.0,2327943.0,2284798.0,2393823.0,2631312.0,2933382.0,3255238.0,2712480.0,3094174.0,3448585.0,3852966.0,3114233.0,3525065.0,4366274.0,3709644.0,,4744607.0,5286255.0,4499689.0,3571663.272,3832654.137,3869090.104,4117099.003,,4387774.452,4594494.176,4847588.421,4820992.003,5008808.748,5391380.666,5584765.684,5528316.046,5851124.801,6199940.299,6434445.497,6799140.938,,,,,SBI Bank
debenture and bond,,,,,,,,,,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,600000.0,600000.0,600000.0,600000.0,1000000.0,800000.0,800000.0,800000.0,800000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,1000000.0,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,SBI Bank
borrowings,,,,,,,,,,1421099.0,2668659.0,1518054.0,108174.0,,130426.0,370965.0,,,,,,1750027.0,,4375.0,,,28313.0,7552.0,,702778.0,,30017.0,,403038.0,3168855.0,2500400.0,4184700.0,5807200.0,8584160.0,4843350.0,5309655.0,5668000.0,4324000.0,,2709590.0,2510080.0,2662550.0,,,,,,,,,,,,,,,,,,,,,,SBI Bank
deposits,,,,,,,,,,29442188.0,28882481.0,31355709.0,34896424.0,38744164.0,39801807.0,40492187.0,42415443.0,46117245.0,50753565.0,52234858.0,53337264.0,51697952.0,54099710.0,53667025.0,58920456.0,56373068.0,56445871.0,51436871.0,54492994.0,55066641.0,57258331.0,54773623.0,51628222.0,53953575.0,58359796.0,63416783.0,65113317.0,68797453.0,77504132.0,85372230.0,81566093.0,86513072.0,85061910.0,,84025321.0,94276139.0,97643039.0,99886806.46,97673629.51,99503824.93,104441032.4,,110236300.5,112151849.6,103069947.9,100986167.0,106053882.0,108552189.5,112644558.6,114335299.1,119451954.7,127158417.8,133700519.7,140080788.5,,,,,SBI Bank
income tax liability,,,,,,,,,,35968.0,,,,,,,,,,,,72812.18,51179.0,,,57168.0,,,,50486.0,,,,94285.0,,,,73829.0,,,,,,,332.0,,,136.692,27.502,,,,,,,,,,,,,,,,,,,,SBI Bank
other liabilities,,,,,,,,,,389828.0,821933.0,915721.0,923367.0,1424806.0,1097739.0,1129575.0,500032.0,622951.0,918032.0,539528.0,816177.0,784646.0,641272.0,1186250.0,1100059.0,1375824.0,950037.0,1742882.0,868037.0,1013651.0,912067.0,1051822.0,959697.0,1221713.0,1136041.0,1548781.0,1159460.0,1283809.0,2053233.0,1571888.0,1426665.0,1453946.0,1395958.0,,1797033.0,1909725.0,2782879.0,2611801.52,2361702.652,2369360.577,2632309.064,,2271950.728,2156888.372,3036027.682,2280200.664,2648498.613,3293324.801,2650325.475,2549425.269,3985378.998,4174210.795,4735575.711,3837460.197,,,,,SBI Bank
total assets,,,,,,,,,,33288525.0,34487777.0,36436760.0,38670010.0,42914023.0,43882781.0,45017875.0,46088234.0,50008939.0,54955592.0,56515445.0,58051122.0,58369726.0,58971475.0,59604517.0,64793964.0,62627815.0,62482222.0,58460976.0,61082973.0,62811705.0,64513255.0,62307344.0,59277291.0,62664052.0,69977989.0,75062180.0,78435387.0,84294612.0,96878227.0,100881557.0,99752371.0,105973090.0,103538417.0,,102323788.0,113029104.0,117037408.0,119812004.5,118142021.8,122779516.4,126691761.1,,132212154.4,136731828.5,134259083.7,136145466.5,137572237.2,141985003.0,146926878.4,151236003.8,152897264.2,162331185.8,168566797.4,177559164.3,,,,,SBI Bank
loan and advancements,,,,,,,,,,16054679.0,18426314.0,17760741.0,18031772.0,18952687.0,19926161.0,21390418.0,21365771.0,21117826.0,22831194.0,25025655.0,26142094.0,27976206.0,28096357.0,28550425.0,28788147.0,30052657.0,32325616.0,33592705.0,35279583.0,37211127.0,38941956.0,39749865.0,39979173.0,39854032.0,41818188.0,46204589.0,46995416.0,52378948.0,59772328.0,61715242.0,63025023.0,68170343.0,71341293.0,,74502222.0,84625841.0,90923707.0,90758043.23,88558971.13,95647273.2,98908301.56,,94435193.01,92060201.22,93994667.56,102849085.4,101417369.1,110621337.1,114132136.1,113872413.3,110517755.2,117287588.2,125891728.2,125439405.8,,,,,SBI Bank
interest income,,,,,,,,,,473296.0,976422.0,1577045.0,2269779.0,665555.0,1390689.0,2193717.0,3104231.0,860048.0,1748916.0,2688579.0,3767515.0,1041132.0,2049520.0,3049766.0,4110514.0,1019498.0,2031615.0,3006937.0,3976648.0,955839.0,1898374.0,2845667.0,3821326.0,967001.0,1917785.0,2888449.0,3981262.0,1153764.0,2449199.0,4034770.0,5911370.0,2078731.0,4244967.0,,8990620.0,2630642.0,5362495.0,2807899.853,3149612.35,2857806.361,2858600.98,,3079202.099,2456530.795,2078055.614,2094722.849,2373434.073,2414227.498,2704268.084,3253536.055,3993332.395,3969271.725,4255491.313,4586193.188,,,,,SBI Bank
interest expense,,,,,,,,,,299832.0,618175.0,994788.0,1452701.0,473959.0,985497.0,1512381.0,2096038.0,614002.0,1278747.0,1993419.0,2770799.0,674050.0,1280110.0,1863342.0,2486979.0,620858.0,1198181.0,1730581.0,2231604.0,487196.0,931311.0,1341132.0,1773842.0,400031.0,776328.0,1149165.0,1564730.0,460349.0,996409.0,1835601.0,2989082.0,1174544.0,2355467.0,,4911242.0,1565155.0,3163516.0,1634237.6,1754090.598,1816635.882,1787694.219,,1963980.994,1852773.761,1491673.776,1312643.239,1460465.749,1564902.094,1830312.182,2107417.683,2433638.229,2664697.947,2873611.437,3121424.4,,,,,SBI Bank
net interest income,,,,,,,,,,173464.0,358247.0,582257.0,817078.0,191596.0,405192.0,681336.0,1008193.0,246046.0,470169.0,695160.0,996716.0,367082.0,769410.0,1186424.0,1623535.0,398640.0,833434.0,1276356.0,1745044.0,468643.0,967063.0,1504535.0,2047484.0,566970.0,1141457.0,1739284.0,2416532.0,693415.0,1452790.0,2199169.0,2922288.0,904187.0,1889500.0,,4079378.0,1065487.0,2198979.0,1173662.253,1395521.752,1041170.479,1070906.761,,1115221.105,603757.034,586381.838,782079.61,912968.324,849325.404,873955.902,1146118.372,1559694.166,1304573.778,1381879.876,1464768.788,,,,,SBI Bank
net fee and commission income,,,,,,,,,,25014.0,50171.0,90789.0,130550.0,54336.0,113026.0,178771.0,247165.0,63346.0,128560.0,208870.0,255326.0,73357.0,144392.0,232650.0,313697.0,102970.0,177164.0,247069.0,320425.0,116619.0,227223.0,337658.0,340354.0,106223.0,229713.0,427069.0,465797.0,121906.0,228705.0,472212.0,508723.0,225290.0,428648.0,,454252.0,228263.0,438437.0,222623.809,228032.412,220996.017,231342.181,,162313.816,204555.374,224781.372,315762.988,269174.783,318404.924,397283.043,282910.499,255340.407,301376.878,302369.936,282878.223,,,,,SBI Bank
total operating income,,,,,,,,,,239105.0,489381.0,785523.0,1096851.0,279975.0,591065.0,978340.0,1421064.0,354723.0,699518.0,1065841.0,1494942.0,501075.0,1035211.0,1603591.0,2196903.0,564928.0,1149775.0,1739488.0,2390543.0,657330.0,1344376.0,2073090.0,2814998.0,762936.0,1548347.0,2380609.0,3336783.0,944684.0,1983723.0,3035801.0,4098100.0,1169258.0,2428167.0,,5316692.0,1382028.0,2786281.0,1472965.727,1723635.35,1347634.833,1391677.882,,1339222.9,879638.009,913841.103,1204721.968,1270302.526,1222773.552,1340433.487,1507401.017,1900053.526,1684969.971,1774358.215,1819493.98,,,,,SBI Bank
staff expenses,,,,,,,,,,34234.0,63246.0,92237.0,130362.0,46628.0,87257.0,169782.0,255430.0,80008.0,147260.0,214900.0,289153.0,82948.0,152891.0,312934.0,416560.0,120732.0,225502.0,331067.0,443078.0,127688.0,239657.0,390552.0,552231.0,169714.0,312436.0,449277.0,568869.0,190657.0,338609.0,579279.0,790473.0,314362.0,641246.0,,1025639.0,403299.0,736349.0,388522.135,542552.726,434796.317,364671.755,,698468.635,399847.011,336819.803,372297.823,465878.111,399527.746,412296.759,403871.922,623324.756,450361.254,447294.899,440734.665,,,,,SBI Bank
operating profit,,,,,,,,,,132241.0,261634.0,436883.0,562302.0,140538.0,287128.0,459359.0,674252.0,146265.0,288923.0,443407.0,666527.0,246829.0,567742.0,821182.0,1175055.0,321067.0,651675.0,986104.0,1358470.0,388272.0,820480.0,1227703.0,1630334.0,442649.0,927139.0,1432294.0,2040912.0,538831.0,1164755.0,1754970.0,2361052.0,604458.0,1311528.0,,3069283.0,698289.0,1434347.0,776934.047,936670.736,627859.147,793627.742,,150199.877,288667.714,453597.019,537822.202,106486.09,547556.43,601012.248,737708.977,531738.091,894442.258,779738.362,898637.203,,,,,SBI Bank
non operating income expense,,,,,,,,,,67.0,2186.0,2297.0,2549.0,574.0,2615.0,2720.0,3114.0,53.0,16.0,356.0,2266.0,642.0,1527.0,1193.0,287.0,155.0,2506.0,3616.0,8728.0,1073.0,2179.0,6076.0,10709.0,497.0,970.0,4254.0,9918.0,38.0,785.0,4886.0,5608.0,36770.0,36971.0,,11388.0,3360.0,32247.0,50855.337,112973.93,550.178,15087.281,,10176.216,692.018,1063.744,2074.842,-1590.6,516.297,463.492,1205.893,769.892,385.802,11312.392,675.927,,,,,SBI Bank
profit for the period,,,,,,,,,,86834.0,202096.0,305384.0,400153.0,94499.0,202255.0,316954.0,464565.0,95985.0,204701.0,319006.0,475629.0,162131.0,381856.0,549409.0,775990.0,222797.0,459045.0,674714.0,922984.0,256210.0,532780.0,827945.0,1065438.0,302071.0,623928.0,950300.0,1331995.0,354415.0,758796.0,1107713.0,1539325.0,439135.0,914198.0,,1949160.0,491154.0,1026616.0,579452.569,706155.899,439886.527,566120.466,,94532.66,202551.812,318262.535,376501.663,84175.365,383650.908,421033.019,738914.87,345814.21,625557.487,554669.023,628987.562,,,,,SBI Bank
capital fund to rwa,,,,,,,,,,10.9,10.85,13.43,14.28,11.38,11.58,11.16,11.74,11.29,10.1,10.76,11.37,11.21,11.5,13.14,12.86,12.48,12.63,13.32,13.7,13.18,13.29,13.54,13.57,14.33,14.52,13.75,13.33,13.02,12.06,13.02,15.92,15.75,15.13,,15.48,14.22,12.8,13.3,14.01,13.69,12.98,,15.44,15.27,14.6,14.15,13.93,13.13,13.28,13.29,13.32,13.09,12.66,12.71,,,,,SBI Bank
non performing loan to total loan,,,,,,,,,,1.85,1.68,1.47,1.47,2.55,1.37,1.29,1.1,1.59,1.18,0.84,0.54,0.49,0.43,0.48,0.37,0.35,0.32,0.35,0.26,0.23,0.22,0.18,0.19,0.18,0.17,0.14,0.14,0.13,0.12,0.12,0.1,0.13,0.13,,0.2,0.2,0.19,0.19,0.2,0.17,0.17,,0.23,0.25,0.19,0.23,0.23,0.17,0.14,0.14,0.15,0.36,0.47,0.97,,,,,SBI Bank
total loan loss provision to npl,,,,,,,,,,159.49,164.0,173.0,181.0,101.31,130.53,130.79,147.52,110.55,135.44,170.39,223.55,273.78,312.25,290.11,373.31,385.21,385.59,361.61,476.42,517.27,549.21,651.41,657.59,651.0,702.0,814.45,829.87,928.0,988.0,1003.0,1132.98,889.0,869.73,,628.0,628.31,648.05,652.4,627.41,700.07,689.22,,647.16,597.3,746.39,573.04,742.7,951.92,1193.31,1288.16,1497.07,606.02,464.69,248.5,,,,,SBI Bank
cost of fund,,,,,,,,,,,4.14,4.32,4.61,4.67,4.97,5.04,5.12,5.42,5.36,5.4,5.49,4.82,4.6,4.5,4.44,4.4,4.25,4.09,3.99,3.42,3.23,3.17,3.17,2.87,2.7,2.56,2.55,2.46,2.53,2.96,3.54,5.19,5.14,,5.45,6.2,5.91,5.86,6.51,7.17,7.09,,6.85,6.19,5.85,5.34,5.27,5.11,5.54,5.82,6.12,7.85,7.95,8.1,,,,,SBI Bank
base rate,,,,,,,,,,,,,,,,,,,,,,,8.76,9.31,9.86,9.66,8.31,8.02,8.78,8.17,6.89,7.28,7.71,6.47,5.97,5.55,5.98,6.08,6.48,8.21,8.98,9.32,9.5,,10.12,10.43,9.82,9.73,9.72,9.94,9.94,,9.25,8.37,7.49,7.46,7.37,8.11,8.95,9.26,9.61,10.22,10.75,11.08,,,,,SBI Bank
net interest spread,,,,,,,,,,,,3.13,2.82,3.07,2.89,3.04,3.24,3.55,3.57,3.33,2.58,3.98,4.2,4.3,4.43,4.44,4.37,4.17,4.93,4.39,5.34,5.34,5.43,4.32,4.4,5.2,4.99,4.54,4.74,4.33,4.45,,,,4.99,,,4.8,4.43,5.18,5.22,,3.87,3.94,4.05,3.33,3.18,3.09,3.13,4.06,4.36,4.01,4.4,4.17,,,,,SBI Bank
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0,389.0,412.0,,,,,,,,,,,,,,,,,,,,,SBI Bank
return on equity,,,,,,,,,,,,22.02,20.11,15.34,16.22,16.51,15.68,13.28,13.96,14.37,14.43,19.99,23.07,21.55,22.13,22.86,23.16,22.64,22.85,22.02,22.33,22.68,21.51,21.29,21.54,21.47,22.16,20.36,21.35,20.41,20.54,,,,16.65,,,,,,,,,,,,,,,,,,,,,,,,SBI Bank
return on total assets,,,,,,,,,,,,1.16,1.12,0.87,0.92,0.95,1.01,0.76,0.77,0.78,0.82,1.07,1.27,1.22,1.27,1.41,1.45,1.46,1.5,1.63,1.69,1.75,1.7,1.93,1.96,1.94,2.0,1.7,1.77,1.67,1.7,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,SBI Bank
